visit,detector,reason
2024112400101,4,wcs_none
2024112400103,5,wcs_none
2024112400102,5,wcs_none
2024112400110,7,wcs_none
2024112400111,4,wcs_none
2024112400105,4,wcs_none
2024112400104,4,wcs_none
2024112400106,4,wcs_none
2024112400112,5,wcs_none
2024112400108,5,wcs_none
2024112400109,5,wcs_none
2024112400113,5,wcs_none
2024112400114,4,wcs_none
2024112400115,4,wcs_none
2024112400117,4,wcs_none
2024112400116,4,wcs_none
2024112400121,4,wcs_none
2024112400120,7,wcs_none
2024112500075,4,wcs_none
2024112500079,3,wcs_none
2024112500076,4,wcs_none
2024112500082,4,wcs_none
2024112500083,4,wcs_none
2024112500086,7,wcs_none
2024112500081,1,wcs_none
2024112500078,7,wcs_none
2024112500087,7,wcs_none
2024112500080,4,wcs_none
2024112500088,5,wcs_none
2024112500089,4,wcs_none
